A_Name_Ch	A_Summary	A_Keywords	A_AlsoKnown	A_Geo	A_Location	A_POIGroup	A_Name_En	A_Name_Latin	A_Phylum	A_Class	A_Order	A_Family	A_Conservation	A_Distribution	A_Habitat	A_Feature	A_Behavior	A_Diet	A_Crisis	A_Interpretation	A_Theme_Name	A_Theme_URL	A_Adopt	A_Code	A_Pic01_ALT	A_Pic01_URL	A_Pic02_ALT	A_Pic02_URL	A_Pic03_ALT	A_Pic03_URL	A_Pic04_ALT	A_Pic04_URL	A_pdf01_ALT	A_pdf01_URL	A_pdf02_ALT	A_pdf02_URL	A_Voice01_ALT	A_Voice01_URL	A_Voice02_ALT	A_Voice02_URL	A_Voice03_ALT	A_Voice03_URL	A_Vedio_URL	A_Update	A_CID
韃靼沙蚺				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Tartar sand boa	Eryx tataricus	脊索動物門	爬蟲綱	蛇亞目	蚺科		亞洲西部，西從裡海東部，經中亞各國到中國新疆.蒙古南部，南到巴基斯坦西部。										Boa-TS																				2015-06-03	99
鱷龜				MULTIPOINT ((121.5898494 24.9940697))	兩棲爬蟲動物館	兩棲爬蟲動物館	Alligator snapping turtle	Macroclemys temminckii	脊索動物門	爬蟲綱	龜鱉目	鱷龜科		美洲的美國東南部。	生活在較大的河流、湖泊和沼澤。	北美洲最大的淡水龜，頭大，嘴如鷹喙，背上有三列發達的鋸齒狀脊稜，在肋盾和緣盾間有一排較小的鱗片，尾巴長。全身為深褐色，常張開嘴利用粉紅色蟲狀舌頭吸引魚類前來，再突然閉口加以捕食。	夜行性	魚類		鱷龜 Alligator snapping turtle ．特徵：北美洲最大的淡水龜，頭大，嘴如鷹喙，背上有三列發達的鋸齒狀脊稜，在肋盾和緣盾間有一排較小的鱗片，尾巴長。全身為深褐色，常張開嘴利用粉紅色蟲狀舌頭吸引魚類前來，再突然閉口加以捕食。 Characteristics: The largest freshwater turtle in North America. It has a big head, a mouth with an eagle-like beak, and three rows of well developed, raised keels on the carapace. There is a row of smaller scales on the sides between the costal scutes and the marginal scutes. It has a long tail. The turtle’s skin is dark brown. It often dangles its pink tongue which has a wormlike projection at the tip, to attract fish into its open mouth, than snaps shut suddenly trapping the prey inside. ．分布：北美洲的美國東南部。生活在較大的河流、湖泊和沼澤。 Distribution: It is native to North America, founded in the Southeastern part of United States. It occurs to larger rivers, lakes and swamps.  				Turtle-AS																				2015-06-03	100
網紋蟒				MULTIPOINT ((121.5898494 24.9940697), (121.583278 24.9945328))	兩棲爬蟲動物館;亞洲熱帶雨林區	兩棲爬蟲動物館	Reticulated python	Python reticulatus	脊索動物門	爬蟲綱	有鱗目	蟒科		東南亞，由印度的尼可巴群島經緬甸、中南半島、馬來半島，到印尼和菲律賓群島。	生活在熱帶雨林、草原、農耕地、濕地和河流附近。	體型細長，是世界第二大的蛇類，僅次於南美洲的綠森蚺，上唇鱗有凹陷的唇窩。頭部有三條黑細紋，一條在頭部正中，另兩條由兩眼延伸到嘴角，身體背部為灰褐色或黃褐色，有複雜的鑽石型黑褐色網狀斑紋。	夜行性	鳥類、哺乳類		網紋蟒 Reticulated python ．特徵：體型細長，是世界第二大的蛇類，僅次於南美洲的綠森蚺，上唇鱗有凹陷的唇窩。頭部有三條黑細紋，一條在頭部正中，另兩條由兩眼延伸到嘴角，身體背部為灰褐色或黃褐色，有複雜的鑽石型黑褐色網狀斑紋。 Characteristics: It is slim and very long, considered the second largest snake in the world only smaller than the Green Anaconda of South America. It’s got heat-sensing pits in the supralabial scales and three black thin lines on its head, one down the middle and the other two running from the two eyes down to the corner of the mouth on either side. The back is either grayish brown or yellowish brown, with complex diamond-shaped patterns of blackish brown geometric markings. ．分布：東南亞，由印度的尼可巴群島經緬甸、中南半島、馬來半島，到印尼和菲律賓群島。生活在熱帶雨林、草原、農耕地、濕地和河流附近。 Distribution: It is native to Southeast Asia, ranging from India’s Nicobar Islands through Myanmar, Indochina and the Malay Peninsula to Indonesia and the Philippine Islands. It occurs to habitats nearby tropical rainforests, grasslands, farmlands, wetlands and rivers. 				Python-R																				2015-06-03	101
蘇卡達象龜				MULTIPOINT ((121.5898494 24.9940697), (121.586726 24.994559), (121.5873295 24.9946641))	兩棲爬蟲動物館;非洲動物區	兩棲爬蟲動物館	African spurred tortoise	Geochelone sulcata	脊索動物門	爬蟲綱	龜鱉目	陸龜科		非洲的撒哈拉沙漠南部，西起塞內加爾，東至埃及。	生活在乾燥的草原、灌叢和沙漠邊緣。	體型壯碩，是世界上體型第三大的陸龜，背甲寬廣而高，前、後緣為鋸齒狀，前肢鱗片大而重疊，後腿有明顯的二或三個刺狀突起。背甲為黃褐色，盾板邊緣為深褐色，.腹甲為黃色或乳黃色。	晨昏活動	植物		蘇卡達象龜 African spurred tortoise ．特徵：體型壯碩，是世界上體型第三大的陸龜，背甲寬廣而高，前、後緣為鋸齒狀，前肢鱗片大而重疊，後腿有明顯的二或三個刺狀突起。背甲為黃褐色，盾板邊緣為深褐色，.腹甲為黃色或乳黃色。 Characteristics: It is humongous and powerful, the third largest tortoise in the world by physique. The carapace is broad and high-domed, with serrated posterior and anterior margins. The scales on the front limbs are enlarged and overlapping, and there are two or three distinct spur-like projections on the hind limbs. The carapace is yellowish brown, the scutes are dark brown on the border, and the plastron is yellow or milky yellow.  ．分布：非洲的撒哈拉沙漠南部，西起塞內加爾，東至埃及。生活在乾燥的草原、灌叢和沙漠邊緣。 Distribution: It is native to the Southern part of the Sahara Desert in Africa, from as west as Senegal to as east as Egypt. It occurs to dry grasslands, scrubs and edges of deserts. 				Totoise-AP																				2015-06-03	102
大白斑蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Tree Nymphs	Idea leuconoe clara	節肢動物門	昆蟲綱	鱗翅目	斑蝶科	CITES、農委會		生活在臺灣各海岸區中	卵為淡黃色砲彈型，幼蟲個體節具有黑白相間之環狀紋路，頭部黑色，各體節間有褐色環紋，中胸、後胸、第2、第8腹節背部各具有一對黑色肉質狀突起，各體節氣門上線具有紅色斑點；蛹為垂蛹，為金屬黃色，體表有黑色斑點；成蝶翅底呈白色，前翅背面中室中央、端部有黑色斑，後翅背面中室有一「V」字型的黑色條紋，成蟲體型大，為臺灣最大型之斑蝶。	雌蟲喜將卵單產於寄主植物的葉背，卵期約5天，終齡幼蟲會選擇寄主植物的葉背或莖化蛹，蛹期約12天。成蝶在野外飛行速度緩慢,而有人稱之為「大笨蝶」			大白斑蝶 Idea leuconoe clara 分類：鱗翅目 蛺蝶科 特徵：為臺灣產斑蝶中最大種類，展翅可達12.5公分。前、後翅表底色為白色，所有翅脈和翅外緣為黑色線條或斑紋。 生態：幼蟲攝食夾竹桃科的爬森藤；成蟲飛行緩慢，喜好乘上升氣流滑翔，多出現在海岸附近的低地。因體內有毒，習性不怕人，是良好的展示教育用蝶種。 分布：臺灣、綠島、蘭嶼、日本和東南亞 				Nymph-LT																				2015-06-03	103
大紅娘華				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Large water scorpion	Sphaerodema  rustica	節肢動物們	昆蟲綱	半翅目	負子蟲科	CITES 農委會	臺灣、中國和中南半島		中大型水生昆蟲，體長可達5公分。體色深褐色，體型扁平形似枯葉，前腳特化成鐮刀狀捕捉足，腹部末端有一細長呼吸管，可伸出水面呼吸。	若蟲和成蟲皆為肉食性，吸食水生小動物的體液。生活在低海拔和平地的沼澤、池塘和水田等靜水域，當棲息環境乾涸時，則會飛離水域另覓新棲地。							Water Scorpion																				2015-06-03	104
大負子蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Rusty water bug	Sphaerodema rustica	節肢動物門	昆蟲綱	半翅目	負子蟲科		臺灣、中國、中南半島和菲律賓		體長可達1.7公分，身體為黃褐色，體型扁平呈橢圓形，前腳特化為鐮刀狀捕捉足，後腳為游泳足。	水棲型椿象，以捕食小型水生動物維生。雌雄蟲交尾後，雌蟲會將卵粒產在雄蟲背上，待若蟲孵化後卵殼才會脫落，故稱負子蟲。			大負子蟲 Sphaerodema rustica 分類：半翅目 田鼈科 特徵：體長可達1.7公分，身體為黃褐色，體型扁平呈橢圓形，前腳特化為鐮刀狀捕捉足，後腳為游泳足。 生態：水棲型椿象，以捕食小型水生動物維生。雌雄蟲交尾後，雌蟲會將卵粒產在雄蟲背上，待若蟲孵化後卵殼才會脫落，故稱負子蟲。 分布：臺灣、中國、中南半島和菲律賓。 				Water Bug-OG																				2015-06-03	105
大琉璃紋鳳蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Paris peacock	Papilio paris nakaharai	節肢動物門	昆蟲綱	鱗翅目	鳳蝶科			分布在北部低海拔的山區中	後翅第4至6室有藍綠色金屬光澤的斑紋	幼蟲草食性，成蟲喜訪花	成蟲喜歡訪花，幼蟲以為芸香科的山刈葉或三角虌為食。		大琉璃紋鳳蝶 Papilio paris nakaharai 分類：鱗翅目 鳳蝶科 特徵：大型鳳蝶，為臺灣北部鳳蝶科中最有名的種類。展翅可達9公分，翅底色為黑色，後翅外緣有紫紅色弦月紋，後翅中央有明顯的綠色琉璃光澤斑紋。 生態：幼蟲攝食芸香科的山刈葉，雌蝶多產卵於半日照之寄主植物葉片上，幼蟲平時棲息於葉片正面且靜伏不動；成蟲主要出現在3-11月，一年可發生3-4個世代。 分布：臺灣北部。臺灣特有亞種。				Butterfly-S																				2015-06-03	106
大鳳蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Great Mormon	Papilio memnon heronus	節肢動物門	昆蟲綱	鱗翅目	鳳蝶科		大鳳蝶廣泛分佈於臺灣中低海拔各地區		卵呈黃色球型；幼蟲1-4齡為深褐色鳥糞狀，5齡幼蟲為綠色，胸部有擬態假眼，腹部第4及第五節側面至背面有白色斜帶，帶內有黑綠色之紋路；蛹為帶蛹，蛹有綠色和褐色兩型；雄蝶翅底為黑色，翅背沿翅脈兩側有淡藍色之鱗粉分佈，前翅腹面基部有紅色斑紋，後翅無尾狀突起，雌蝶有兩型，無尾白斑型與有尾橙斑型。	雌蝶喜將卵單產於嫩葉處，卵期約7天；幼蟲期有五齡。			大鳳蝶 Papilio memnon heronus 分類：鱗翅目 鳳蝶科 特徵：大型美麗之鳳蝶，經常作為展示教育及觀賞用蝶種。展翅可達12公分，雄蝶前翅黑色，後翅無尾；雌蝶有無尾白斑和有尾橙斑兩型。 生態：幼蟲攝食芸香科的雙面刺、食茱萸和柑橘類等植物；成蟲主要出現在3-11月。 分布：臺灣、中國、日本南部、中南半島、馬來半島和印尼				Mormon-G																				2015-06-03	107
小扁竹節蟲　				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Stick Insect-GH																				2015-06-03	108
日本棘竹結蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Stick Insect-J																				2015-06-03	109
玉帶鳳蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Common mormon	Papilio polytes	節肢動物門	昆蟲綱	鱗翅目	鳳蝶科		臺灣各地區		幼蟲1-4齡偽裝成鳥糞狀，終齡蟲綠色，第3、4腹節有一斜行褐色帶，頭部有暗紅色臭角，後胸兩側有擬態黑眼;蛹為帶蛹；成蟲前後翅底為黑褐色，後翅有成一帶狀的淡黃色的條紋	幼蟲草食性，成蟲喜訪花	芸香科的柑橘屬，飛龍掌血，烏柑仔，食茱萸及過山香等。		玉帶鳳蝶 英名：Common Mormon 學名：Papilio polytes pasikrates ( Fruhstorfer)   習性：幼蟲草食性，成蟲喜訪花。 形態：幼蟲1-4齡偽裝成鳥糞狀，終齡蟲綠色，第3、4腹節有一斜行褐色帶，頭部有暗紅色臭角，後胸兩側有擬態黑眼;蛹為帶蛹；成蟲前後翅底為黑褐色，後翅有成一帶狀的淡黃色的條紋。 食性：芸香科的柑橘屬，飛龍掌血，烏柑仔，食茱萸及過山香等。 分布：生活在臺灣各地區				Mormon-C																				2015-06-03	110
尖刺足刺竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Giant walking stick insect	Phobaeticus serratipes	節肢動物門	昆蟲綱	竹節蟲目	竹節蟲科		Western Malaysia and Singapore		擬態與偽裝高手，讓自己融入週遭景象而不易被發現。 身體細長足部有尖刺。	白晝棲息於植物枝葉間不易被發現，夜晚在樹叢間緩慢爬行覓食或求偶。	刺藤、橡樹、薔薇科植物。		物種名稱：尖刺足刺竹節蟲 英名：Giant Walking Stick  學名： Phobaeticus serratipes (Gray)  習性： 白晝棲息於植物枝葉間不易被發現，夜晚在樹叢間緩慢爬行覓食或求偶。 形態：擬態與偽裝高手，讓自己融入週遭景象而不易被發現。 身體細長足部有尖刺。 食性：刺藤、橡樹、薔薇科植物。 分布：Western Malaysia and Singapore				Walking Stick-G																				2015-06-03	111
狄氏大田鱉				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Vuillefroy																				2015-06-03	112
長肛竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館		Entoria taihokuensis	節肢動物門	昆蟲綱				臺灣		雄蟲是黑色側面帶有黃色縱紋；標準的雌蟲中足脛節沒有薄片狀突起。	棲息於潮濕的森林中。	構樹、長梗紫麻、杜紅花、野桐、懸鉤子。						K. deyrollei																				2015-06-03	113
長翅水螳螂				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Long-winged water  walking stick	Ranatra longipes	節肢動物門	昆蟲綱	半翅目	蠍椿科		臺灣、中國和日本		體長可達4.5公分，體色黃褐色，體型和各腳特別細長，前腳特化成鐮刀狀捕捉足，腹部末端有一細長呼吸管，可伸出水面呼吸。	若蟲和成蟲皆生活在靜水域的水草叢間，捕食水中小動物為食；成蟲全年可見，壽命可長達一年。							Water Walking Stick																				2015-06-03	114
幽靈竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Stick Insect-S																				2015-06-03	115
扁鍬形蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Sika flat stag beetle	Dorcus titanus	節肢動物門	昆蟲綱	鞘翅目	鍬形蟲科		臺灣、中國和菲律賓		體長可達7.2公分，身體為黑褐色到黑色，雄蟲大顎內具有鋸齒狀排列。	幼蟲取食枯腐木質；成蟲出現在4-10月，是臺灣產鍬型蟲中分布最廣且最常見的一種。	幼蟲以腐木為食，成蟲食用腐熟熱帶水果。						Stag Beetle																				2015-06-03	116
枯葉蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Orange oak leaf	Kallima inachus formosana	節肢動物門	昆蟲綱	鱗翅目	蛺蝶科		臺灣。臺灣特有亞種。		大型蝶種，兩翅合併時，翅形外觀近似一片枯葉。展翅可達10公分。翅表深紫褐色，基部到後翅為藍色，前翅有一橙色斜寬帶。	幼蟲攝食爵床科的臺灣鱗球花和臺灣馬藍；成蟲主要出現在3-10月。							Oak Leaf																				2015-06-03	117
枯樓頭蟑螂				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Roach-DH																				2015-06-03	118
津田氏大頭竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Tsuda giant stick insect	Megacrania tsudai	節肢動物門	昆蟲綱	虫脩目	竹節蟲科		臺灣恆春半島和綠島。臺灣特有種。		大型保育類竹節蟲，體長可達12公分，體色深綠色，胸部背板有許多顆粒狀小突起，翅為黃褐色，佔腹部二分之一，腿節綠褐色，跗節綠色。	若蟲全年皆可發現，成蟲則多出現在3-12月，數量甚少，孤雌生殖。	主要以林投為食						Phasmid-T																				2015-06-03	119
琉球青斑蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Blue glassy tiger	Ideopsis similis similis	節肢動物門	昆蟲綱	鱗翅目	蛺蝶科		臺灣、中國、日本琉球群島、東南亞和印度半島		大型斑蝶，展翅可達8.5公分，雌雄色彩斑紋相似，但雌蝶翅形稍寬；本種外觀與小紋青斑蝶或淡小紋青斑蝶酷似。	幼蟲攝食蘿藦科的鷗蔓、布朗藤和牛皮消等植物；成蟲幾乎全年出現。	幼蟲攝食蘿藦科的鷗蔓、布朗藤和牛皮消等植物；成蟲幾乎全年出現。						Butterfly-LBSM																				2015-06-03	120
琉璃蛺蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Blue admiral	Kaniska canace drilon	節肢動物門	昆蟲綱	鱗翅目	蛺蝶科		臺灣山區		卵成呈綠色，球形，表面有10~11條縱溝；幼蟲體色呈黑色而有纖細的淡黃或橙黃色環；體表有棘刺呈淡黃色；成蝶外緣呈鋸齒狀，翅背底色為泛藍黑色，有一條藍色縱帶。								Butterfly-BA																				2015-06-03	121
豹紋蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱	鱗翅目													Butterfly-BL																				2015-06-03	122
棉桿竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Pink-winged stick insect	Sipyloidea sipylus	節肢動物門	昆蟲綱	虫脩目	異竹節蟲科		臺灣和中國		雌蟲體長可達8.2公分，體色為黃褐色或棕紅色，大部分個體有深棕色的小斑點，頭部背面扁平，後翅為淺玫瑰色，尾毛直。	受驚嚇時會從前胸背板前端的腺體散發出人蔘味驅敵；	植食性，主要以山芙蓉、木芙蓉、木槿和羅氏鹽膚木等植物為食。						Stick Insect-PW																				2015-06-03	123
菱背枯葉螳螂				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Mantis-DL																				2015-06-03	124
黃斑黑蟋蟀				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Two-spotted cricket	Gryllus bimaculata	節肢動物門	昆蟲綱	直翅目	蟋蟀科												Cricket-F																				2015-06-03	125
黃裳鳳蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Golden birdwing	Troides aeacus formosanus	節肢動物門	昆蟲綱	鱗翅目	鳳蝶科		臺灣。臺灣特有亞種。		型態優美之大型鳳蝶，為法定珍貴稀有保育類蝶種。展翅可達13公分，後翅有金黃色斑，胸側面有桃紅色毛，腹部底色鮮黃色，上有黑色斑點。	幼蟲攝食各種馬兜鈴科之植物。一年多代，成蟲幾乎全年可見。雄蝶常於森林樹冠上盤旋滑翔，雌蝶棲息於樹林內部較陰暗處。							Birdwing-S																				2015-06-03	126
黃緣螢				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Yellow-margined firefly	Luciola ficta	節肢動物門	昆蟲綱	鞘翅目	螢科		臺灣		夜行性昆蟲，體長可達0.9公分，頭部黑色，觸角絲狀，前胸背板橙黃色，黑色翅鞘中央交接處有黃色細紋，因而得名。雄蟲腹部乳白色發光器有兩節，雌蟲則有一節。	為臺灣平地常見的螢火蟲，幼蟲水生，主要以淡水螺貝類為食；成蟲主要出現在3-10月，以發光器的閃爍頻率來做溝通，如求偶和警戒等行為。							Firefly																				2015-06-03	127
黑鳳蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Black spangle	Papilio protenor amaura	節肢動物門	昆蟲綱	鱗翅目	鳳蝶科		臺灣、中國和東南亞		大型鳳蝶，展翅可達9公分，後翅無尾狀突起，雄蝶全翅黑色，後翅前緣有白色橫條紋；雌蝶與雄蝶相似，翅顏色較淡，後翅無白色橫紋。	幼蟲攝食芸香科的雙面刺和柑橘類植物；成蟲主要出現在3-10月。							Spangle																				2015-06-03	128
葉竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Leaf Insect																				2015-06-03	129
端紅蝶				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Great orange tip	Hebomoia glaucippe formosana	節肢動物門	昆蟲綱	鱗翅目	粉蝶科		臺灣。臺灣特有亞種。		為臺灣產粉蝶科體型最大者，展翅可達9公分。雄蝶前翅端有橙紅色三角斑紋，後翅亞外緣有黑褐色斑。雌蝶翅型稍微寬圓，翅表面色澤稍黃，黑色斑紋較雄蝶發達。	幼蟲攝食白花菜科的魚木和山柑等植物；成蟲主要出現在3-11月。							Orange Tip																				2015-06-03	130
臺灣大鍬形蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Formosan giant stag beetle	Dorcus curvidens formosanus	節肢動物門	昆蟲綱	鞘翅目 	鍬形蟲科		臺灣。臺灣特有亞種		保育類大型鍬形蟲，體長可達8公分，體色黑色，大顎基部各具一突起，前胸背板前緣呈弧狀凹入，翅鞘上有小刻點排列而成的縱向條紋。	幼蟲生活在朽木中，以腐木為食，通常需1- 2年才會羽化；成蟲則吸食樹液如青剛櫟和柑橘樹等。夜間具趨光性。							Stag Beetle-F																				2015-06-03	131
臺灣騷斯				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Long-winged katydid	Mecopoda elongata	節肢動物門	昆蟲綱	直翅目	螽蟖科		臺灣、中國、日本琉球群島和東南亞		大型植食性螽蟖，體型碩大，體長可達7.5公分。體色為綠色或和褐色，頭部後方兩側有大塊黑色斑紋，整體外觀近似葉片形狀，具有擬態保護效果。	成蟲主要出現於夏、秋季，雄蟲以摩擦兩前翅而發出鳴聲。							Katydid-L																				2015-06-03	132
寬腹螳螂				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Broad-bellied mantis	Hierodula patellifera	節肢動物門	昆蟲綱	螳螂目	螳螂科		臺灣、中國和菲律賓		大型螳螂，體長可達7公分，體色為綠色和褐色。前腳特化成一對鐮刀狀的捕捉足，腹部特別寬大，翅膀中間有2個小型白斑。	若蟲和成蟲皆為肉食性，成蟲出現在春季到秋季，生活在低海拔地區，常在灌叢間獵食其他昆蟲。							Mantis																				2015-06-03	133
瘤竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館		Datames sp. 	節肢動物門	昆蟲綱				臺灣全島海拔1000公尺以下山區		瘤竹節蟲在臺灣只有雌蟲的紀錄，全身具有許多瘤狀突起。	喜於潮濕山區，夜晚會集體活動，若蟲或成蟲以3-10隻一起活動，彼此會保持約30公分的距離，白天棲息時不一定會聚在一起，大都單獨休息。	拎樹藤、柚葉藤						Stick Insect-O																				2015-06-03	134
橙斑大龍蝨				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館			節肢動物門	昆蟲綱														Diving Beetle																				2015-06-03	135
蘭嶼大葉螽斯				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館	Lanyu giant katydid	Phyllophorina kotoshoensis	節肢動物門	昆蟲綱	直翅目	螽蟖科		蘭嶼。蘭嶼特有種	常棲於森林邊緣或灌木叢中	大型保育類螽蟖，體長可達10公分，體色綠色，前胸背板發達，略呈菱形，前翅形狀似葉片。雌蟲產卵管發達，上彎呈刀狀。								Katydid-LG																				2015-06-03	136
蘭嶼筒胸竹節蟲				MULTIPOINT ((121.5807004 24.9967402))	昆蟲館	昆蟲館		Phasmotaenia lanyuhensis	節肢動物門	昆蟲綱				蘭嶼	棲息在開闊地及森林邊緣	雌蟲是臺灣最大的竹節蟲；中胸膨大，具後翅殘跡。		茄苳、木賊葉木麻黃、四脈麻。						P. lanyuhensis																				2015-06-03	137
北非髯羊				MULTIPOINT ((121.5878686 24.9938388))	非洲動物區		Barbary Sheep	Ammotragus lervia	脊索動物門	哺乳綱	偶蹄目	牛科			北非髯羊棲息於貧脊的岩石、沙漠地區等非常乾燥的環境	頭體長1,30-1,65cm，尾長15-25cm，肩高75-1,12cm，體重雄性100-145kg，雌性40-55kg。毛色為黃褐色偏紅色，耳內、臉頰、腹側及四肢內側為白色，尾巴長，耳朵小，雄羊脖子下面由喉部一直到前腿有長而柔軟的鬃毛，雌雄均有角，雄性的角先向外長，再向內偏轉，最長可達84cm。	通常成小群活動，由一隻雄羊擔任領導，再加上幾隻雌羊及牠們的子女。	草食性，吃草及樹葉。	因經常作為經濟動物繁殖，且在美國已為合法狩獵動物，無重大危機。					Sheep-B	北非髯羊	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Sheep-B/Sheep-B_Pic01.jpg	北非髯羊	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Sheep-B/Sheep-B_Pic02.jpg	北非髯羊	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Sheep-B/Sheep-B_Pic03.jpg	北非髯羊	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Sheep-B/Sheep-B_Pic04.jpg												2015-06-03	138
白犀牛				MULTIPOINT ((121.5884721 24.9941815), (121.5868279 24.9944757), (121.5868534 24.9940406))	非洲動物區		White Rhinoceros或Square-Lipped Rhinoceros	Ceratotherium simum simum	脊索動物門	哺乳綱	奇蹄目	犀牛科 Family Rhinocerotidae	瀕臨絕種保育類野生動物	非洲	草原	一、體色由黃棕色到灰色，耳朵邊緣與尾巴有剛毛，其餘部分則無毛，上唇為方形。鼻上的角平均為60cm，最長可達200cm。 二、頭軀幹長3,350-4,200mm，尾長500-700mm，肩高1,500-1,850mm，體重雄性2,000-3,600kg，雌性1,400-1,700kg。	一、 名稱來自於荷蘭文“weit”，意思為“wide” (寬平)，針對牠們寬平的嘴唇而言，後來被人誤稱為“white” (白色)，故稱“白犀牛”，又名“方嘴犀”。牠們寬平的唇部，可像割草機般啃食地上的草。 二、 白犀牛棲息在地形平坦、灌木濃密、有食物及水源的地方，主要的活動時間為早晨、傍晚及夜間，中午則在陰涼的地方休息或泡水。 三、 白犀牛的視力很差，主要依靠聽覺和嗅覺，奔跑時速可達40km。 四、 白犀牛會成群活動，群中通常是母犀牛與小犀牛；成年的雄犀牛則多半是獨居，牠們會撒尿及散佈糞便的方式來標識自己的領域，在爭奪領域時，會互相用角攻擊。 五、 白犀牛比黑犀牛溫和，較不具攻擊性。	草食。在本園則餵食麥片、粒狀飼料、苜蓿草粒、青牧草。	人類的捕殺					Rhino-W	白犀牛	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Rhino-W/Rhino-W_Pic01.jpg	白犀牛	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Rhino-W/Rhino-W_Pic02.jpg	白犀牛	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Rhino-W/Rhino-W_Pic03.jpg	白犀牛	http://www.zoo.gov.tw/iTAP/03_Animals/AfricanArea/Rhino-W/Rhino-W_Pic04.jpg												2015-06-03	139
